KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
CockpitBlocksSVT2,Armored Cockpits,,,,,,,,Кабины (бронированные),,,,,,,,
AlienOrganism,Alien Organism,,,,,,,,Инопланетный организм,,,,,,,,
AncientRelics,Ancient Relics,,,,,,,,Древний реликт,,,,,,,,
Fertilizer,Fertilizer,,,,,,,,Удобрение,,,,,,,,
Leather,Leather,,,,,,,,Натуральная кожа,,,,,,,,
Liquors,Liquors,,,,,,,,Алкоголь,,,,,,,,
LuxuryGoods,Luxury Goods,,,,,,,,Предметы роскоши,,,,,,,,
Narcotics,Narcotics,,,,,,,,Наркотики,,,,,,,,
Optronics,Optronics,,,,,,,,Оптроника,,,,,,,,
RawDiamond,Raw Diamond,,,,,,,,Необработанный алмаз,,,,,,,,
Robotics,Robotics,,,,,,,,Робототехника,,,,,,,,
ToxicWaste,Toxic Waste,,,,,,,,Токсичные отходы,,,,,,,,
DecoTribalBlocks,Tribal Furnishing,,,,,,,,Этническая мебель (декор),,,,,,,,
PentaxidTank,Pentaxid Tank (Large),,,,,,,,Пентаксидный бак,,,,,,,,
PentaxidTankSV,Pentaxid Tank (Small),,,,,,,,Пентаксидный бак,,,,,,,,
ShieldGeneratorBA,Shield Generator (Base),,,,,,,,Поляризованный щит корпуса (К1),,,,,,,,
ShieldGeneratorBAT2,Advanced Shield Generator (Base),,,,,,,,Поляризованный щит корпуса (К2),,,,,,,,
ShieldGeneratorCV,Shield Generator (CV),,,,,,,,Поляризованный щит корпуса (К1),,,,,,,,
ShieldGeneratorCVT2,Advanced Shield Generator (CV),,,,,,,,Поляризованный щит корпуса (К2),,,,,,,,
PentaxidCrystal,Refined Pentaxid,,,,,,,,Пентаксид (очищенный),,,,,,,,
bkiPentaxidTank,"Containment unit used to store highly unstable and radioactive Refined Pentaxid.\nUsed for a variety of exotic energy applications, such as operating shield systems and performing warp jumps.",,,,,,,,"Контейнерный блок используется для хранения высоко нестабильного и радиоактивного Refined Pentaxid.\nИспользуется в различных экзотических энергетических применениях, таких как работа защитных систем и выполнение warp-прыжков.",,,,,,,,
igmNotPlaceableShieldOff,Shield is interfering with placement\nShield must be disabled first,,,,,,,,Невозможно. Сначала деактивируйте поляризованный щит корпуса,,,,,,,,
imgNoWarpShieldOff,Warp Coils not aligned!\nShield must be disabled first,,,,,,,,Невозможно. Сначала деактивируйте поляризованный щит корпуса,,,,,,,,
bkiHoverEngineThruster,"[c][ffffff]Generates [u]thrust AND torque[/u].\nNo [-][/c][c][7dbeff]RCS[-][/c][c][ffffff] or additional [-][/c][c][7dbeff]Thrusters[-][/c][c][ffffff] required![-][/c]\n- -\n[c][ffffff]Handling quality depends on [u]placement & weight[/u] distribution! [-][/c]\n[c][ffffff] > Use [-][/c][c][7dbeff]Artificial Mass[-][/c][c][ffffff] blocks to balance.[-][/c]\n[c][ffffff] > Use [-][/c][c][7dffff]Debug Menu[-][/c][c][ffffff] ([-][/c][c][7dff7d]N[-][/c][c][ffffff]) to check center of mass.[-][/c]\n- - \n[c][b3b3b3][sup]Position: PAGE UP/DOWN, HOME/END\nPlace: LEFT MOUSE BUTTON (LMB) [/sup][-][/c]",,,,,,,,"Базовый двигатель парения, обеспечивающий интегрированную, но ограниченную направленную тягу и крутящий момент.\nУстановите несколько двигателей и распределите вес, чтобы обеспечить сбалансированность ПС.\n\nНЕ работает на поверхности воды!",,,,,,,,
HoverEngineThruster,Ground Repulsor Engine,,,,,,,,Двигатель парения,,,,,,,,
igmDamageTooLow,This object cannot be damaged by your current weapon,,,,,,,,Вы не можете повредить цель этим оружием!\nПереключите режим стрельбы при помощи ПКМ или используйте другое оружие.,,,,,,,,
igmBaseUnderAttack,Your base is under attack by {0} faction.\nGet into a defence position and protect your base.,,,,,,,,Ваша база находится под атакой фракции {0}. Займите оборонительную позицию и защитите свою базу.,,,,,,,,
StairsBlocks,Stairs (Steel),,,,,,,,Лестницы (стальные),,,,,,,,
StairsBlocksConcrete,Stairs (Concrete),,,,,,,,Лестницы (бетонные),,,,,,,,
StairsBlocksWood,Stairs (Wood),,,,,,,,Лестницы (деревянные),,,,,,,,
DrillT2,[c][F3FF3F]Laser Drill[-][/c],,,,,,,,Бур,,,,,,,,
DecoVesselBlocks,External Decorative Devices,,,,,,,,Основные устройства (декор),,,,,,,,
ZiraxMinigun,Zirax Soldier,,,,,,,,Зиракс (пулемет),,,,,,,,
ZiraxSniper,Zirax Sniper,,,,,,,,Зиракс Снайпер,,,,,,,,
ZiraxMinigunBaseAttack,Assault Zirax,,,,,,,,Зиракс (пулемет),,,,,,,,
ZiraxShotgunBaseAttack,Siege Zirax,,,,,,,,Зиракс (дробовик),,,,,,,,
DroneBaseAttackRocket,Rocket Siege Drone,,,,,,,,Дрон с ракетами,,,,,,,,
DroneBaseAttackMinigun,Minigun Siege Drone,,,,,,,,Дрон с пулеметом,,,,,,,,
PistolEpic,[c][FF7B00]ARX-99 Elite Combat Pistol[-][/c],,,,,,,,Пистолет ARX-99,,,,,,,,
AssaultRifleEpic,[c][FF7B00]ATB-156 Light Machine Gun[-][/c],,,,,,,,Легкий пулемет АТБ-156,,,,,,,,
Shotgun2Epic,[c][FF7B00]OKL-5 Assault Shotgun[-][/c],,,,,,,,Штурмовой дробовик ОКЛ-5,,,,,,,,
MinigunEpic,[c][FF7B00]MLS-78 Laser Minigun[-][/c],,,,,,,,Лазерный миниган МЛС-78,,,,,,,,
Sniper2Epic,[c][FF7B00]NTS-56 Sniper Rifle[-][/c],,,,,,,,Тяжелая снайперская винтовка HTC-56,,,,,,,,
LaserRifleEpic,[c][FF7B00]LS-79 Energy Rifle[-][/c],,,,,,,,"Плазменная винтовка 
ЛС-79",,,,,,,,
PulseRifleT3,[c][FF7B00]Pulse Rifle[-][/c],,,,,,,,Импульсная винтовка,,,,,,,,
RocketLauncherEpic,[c][FF7B00]MSL-889 Guided Rocket Launcher[-][/c],,,,,,,,[c][FF7B00]РПС MSL-889 с управляемой ракетой[-][/c],,,,,,,,
ScifiCannonEpic,[c][FF7B00]XPG-12 Auto-Plasma Cannon[-][/c],,,,,,,,Плазменная пушка XPG-12,,,,,,,,
ShieldGeneratorSV,Standard Shield Generator (SV),,,,,,,,Поляризованный щит корпуса,,,,,,,,
ShieldGeneratorHV,Mobile Shield Generator (HV),,,,,,,,Поляризованный щит корпуса,,,,,,,,
ShieldCapacity,Shield Capacity,,,,,,,,Объем HP,,,,,,,,
ShieldRecharge,Recharge Rate,,,,,,,,Скорость восстановления,,,,,,,,
ShieldCooldown,Warm up time,,,,,,,,Время перезарядки,,,,,,,,
ShieldPerCrystal,HP per Pentaxid,,,,,,,,HP за Пентаксид,,,,,,,,
igmDrillBedrock,The terrain layer is too hard for the driller.,,,,,,,,Вы бурите на неразрушимой коренной породе.,,,,,,,,
DrillAttachmentLarge,Large Mechanical Drill Module (HV),,,,,,,,Большой модуль бура - Механический,,,,,,,,
DrillAttachmentLargeWeapon,Large Mechanical Drill,,,,,,,,Большой модуль бура,,,,,,,,
igmStatusEffectEvol,"If not properly treated, the current status effect '{0}' will deteriorate into '{1}' in {2} minutes.",,,,,,,,"Если не обработать должным образом, эффект ""{0}"" превратится в ""{1}"" через {2} мин.",,,,,,,,
VentilatorThin,Ventilator (Thin),,,,,,,,Вентилятор (тонкий),,,,,,,,
Antenna06,Signal Transmitter,,,,,,,,Антенна 6 (2),,,,,,,,
Antenna07,Signal Receiver,,,,,,,,Антенна 7,,,,,,,,
Antenna08,Long-Ranged Tranceiver,,,,,,,,Антенна 8,,,,,,,,
Antenna09,Long-Ranged Receiver,,,,,,,,Антенна 9,,,,,,,,
Antenna10,Deep Space Transceiver,,,,,,,,Антенна 10,,,,,,,,
Antenna11,Deep Space Transmitter,,,,,,,,Антенна 11,,,,,,,,
Antenna12,Signal Repeater,,,,,,,,Антенна 12,,,,,,,,
Antenna13,Wideband Transceiver,,,,,,,,Антенна 13,,,,,,,,
SVDecoIntake02New,Intake Vent,,,,,,,,Впуск 2,,,,,,,,
VentilatorBlocks,Ventilators,,,,,,,,Вентиляторы,,,,,,,,
VentilatorCubeHalf,Ventilator (Cube Half),,,,,,,,Вентилятор (Куб половинка),,,,,,,,
SVDecoAeroBlister01,Aero Blister,,,,,,,,Аэро Блистер 01,,,,,,,,
SVDecoAirbrake01,Airbrake,,,,,,,,Пневмотормоз 01,,,,,,,,
SVDecoAntenna01,Antenna,,,,,,,,Антенна 01,,,,,,,,
SVDecoAntenna02,Calibrated Antenna,,,,,,,,Антенна 02,,,,,,,,
SVDecoArmor1x,Armored Hatch,,,,,,,,Бронь 1x (декор),,,,,,,,
SVDecoArmor2x,Large Armored Hatch,,,,,,,,Бронь 2x (декор),,,,,,,,
SVDecoFin01,Microthruster Wing,,,,,,,,Плавник 1,,,,,,,,
SVDecoFin02,External Tank,,,,,,,,Плавник 2,,,,,,,,
SVDecoFin03,Steering Vane,,,,,,,,Плавник 3,,,,,,,,
SVDecoGreeble01,Metal Cap,,,,,,,,Грибл 1,,,,,,,,
SVDecoGreeble02,Dual Cap,,,,,,,,Грибл 2,,,,,,,,
SVDecoGreeble03,Pipes,,,,,,,,Грибл 3,,,,,,,,
SVDecoIntake01,Scooped Intake,,,,,,,,Впуск 1,,,,,,,,
SVDecoLightslot2x,Light Strip (Short),,,,,,,,Легкий слот 2x,,,,,,,,
SVDecoLightslot3x,Light Strip (Long),,,,,,,,Легкий слот 3x,,,,,,,,
SVDecoStrake01,Strake,,,,,,,,Страйк 1,,,,,,,,
SVDecoStrake02,Radiant Strake,,,,,,,,Страйк 2,,,,,,,,
SVDecoVent01,Vent,,,,,,,,Вентилятор (декор),,,,,,,,
TribalBarrels,Barrels,,,,,,,,Бочонки,,,,,,,,
TribalBox,Box,,,,,,,,Коробка,,,,,,,,
TribalBarrow,Barrow,,,,,,,,Тачка,,,,,,,,
TribalBoat,Boat,,,,,,,,Лодка,,,,,,,,
TribalBaskets,Baskets,,,,,,,,Корзины,,,,,,,,
TribalBed1,Wooden Bed,,,,,,,,Кровать 1,,,,,,,,
TribalBed2,Straw Bed,,,,,,,,Кровать 2,,,,,,,,
TribalBookcase1,Book Case,,,,,,,,Книжный шкаф 1,,,,,,,,
TribalBookcase2,Wooden Cabinet,,,,,,,,Книжный шкаф 2,,,,,,,,
TribalBuckets,Buckets,,,,,,,,Ведра,,,,,,,,
TribalCabinet1,Double Cabinet,,,,,,,,Шкафчик 1,,,,,,,,
TribalCabinet2,Cloth Cabinet,,,,,,,,Шкафчик 2,,,,,,,,
TribalCauldron,Cauldron,,,,,,,,Котел,,,,,,,,
TribalCauldron2,Large Cauldron,,,,,,,,Котел 2,,,,,,,,
TribalTub,Tub,,,,,,,,Бадья,,,,,,,,
TribalDryFish,Dry Fish,,,,,,,,Сушеная рыба,,,,,,,,
TribalLoom,Loom,,,,,,,,Ткацкий станок,,,,,,,,
TribalOven,Oven,,,,,,,,Печь,,,,,,,,
TribalHearth,Forge,,,,,,,,Очаг,,,,,,,,
TribalSacks,Sacks,,,,,,,,Мешки,,,,,,,,
TribalTable1,Table and Benches,,,,,,,,Стол 1,,,,,,,,
TribalTable2,Table and Chairs,,,,,,,,Стол 2,,,,,,,,
TribalChair,Chair,,,,,,,,Стул,,,,,,,,
TribalWoodSaw,Wood Saw,,,,,,,,Пила,,,,,,,,
TribalFirewood,Firewood,,,,,,,,Дрова,,,,,,,,
TribalTrunkAxe,Chopping Block,,,,,,,,Секира,,,,,,,,
TribalTorch,Torch,,,,,,,,Факел,,,,,,,,
TribalFirepit,Firepit,,,,,,,,Жаровня,,,,,,,,
TribalAnvil,Anvil,,,,,,,,Наковальня,,,,,,,,
ShieldGeneratorPOI,Alien Shield Generator,,,,,,,,Поляризованный щит корпуса (ТИ),,,,,,,,
TurretEnemyBallista,Ballista,,,,,,,,Баллиста,,,,,,,,
TurretIONCannon,[c][FF0000]Plasma Turret[-][/c],,,,,,,,Плазменная турель (Чужие),,,,,,,,
TurretIONCannon2,[c][FF0000]Advanced Plasma Turret[-][/c],,,,,,,,Плазменная турель 2 (Чужие),,,,,,,,
TurretEnemyEMP,[c][FF0000]Pulse Turret[-][/c],,,,,,,,Ионная турель (Чужие),,,,,,,,
TalonGuardianBaseAttack,Tal'on Hunter,,,,,,,,Талон охранник,,,,,,,,
TalonGuardianShamanBaseAttack,Tal'on Shaman,,,,,,,,Талон шаман,,,,,,,,
TalonSpider01,Erebus Spider,,,,,,,,Эребус Паук,,,,,,,,
TalonCrawler,Crawler,,,,,,,,Краулер,,,,,,,,
TalonCaveWormGrey,Argos Minor,,,,,,,,Пещерный червь,,,,,,,,
TalonPangolin,Thymosaurus,,,,,,,,Ящер,,,,,,,,
TalonSpider03,Pluton Spider,,,,,,,,Паук,,,,,,,,
LCDProjector,LCD Projector,,,,,,,,ЖК проектор,,,,,,,,
cplCPUTier,No CPU Tier,,,,,,,,ЦП Класс:,,,,,,,,
cplActiveTier,[c][FF0000]CPU Tiers are Disabled[-][/c],,,,,,,,Активный Класс,,,,,,,,
cplCPUPointTiers,CPU Point Distribution,,,,,,,,ЦП Очки класса,,,,,,,,
cplTierStats,CPU Tier Statistics,,,,,,,,ЦП Статистика класса,,,,,,,,
WalkwayLargeBlocks,Walkways & Railings (Large),,,,,,,,Дорожки & Ограждения Б,,,,,,,,
WalkwaySmallBlocks,Walkways & Railings (Small),,,,,,,,Дорожки & Ограждения М,,,,,,,,
lblCpuTierClass:,CPU Tier Class:,,,,,,,,ЦП Класс:,,,,,,,,
CPUExtenderBAT4R,CPU Extender (Advanced),,,,,,,,ЦП Расширитель К4,,,,,,,,
CPUExtenderBAT3,CPU Extender (Improved),,,,,,,,ЦП Расширитель (Улучшенный),,,,,,,,
CPUExtenderBAT2,CPU Extender (Basic),,,,,,,,ЦП Расширитель К2,,,,,,,,
CPUExtenderCVT4R,CPU Extender (Advanced),,,,,,,,ЦП Расширитель К4,,,,,,,,
CPUExtenderCVT3,CPU Extender (Improved),,,,,,,,ЦП Расширитель (Улучшенный),,,,,,,,
CPUExtenderCVT2,CPU Extender (Basic),,,,,,,,ЦП Расширитель К2,,,,,,,,
CPUExtenderSVT4R,CPU Extender (Advanced),,,,,,,,ЦП Расширитель К4,,,,,,,,
CPUExtenderSVT3,CPU Extender (Improved),,,,,,,,ЦП Расширитель (Улучшенный),,,,,,,,
CPUExtenderSVT2,CPU Extender (Basic),,,,,,,,ЦП Расширитель К2,,,,,,,,
CPUExtenderHVT4R,CPU Extender (Advanced),,,,,,,,ЦП Расширитель К4,,,,,,,,
CPUExtenderHVT3,CPU Extender (Improved),,,,,,,,ЦП Расширитель (Улучшенный),,,,,,,,
CPUExtenderHVT2,CPU Extender (Basic),,,,,,,,ЦП Расширитель К2,,,,,,,,
SmallOptronicBridge,Small Optronic Bridge,,,,,,,,Малый Оптронный Мост,,,,,,,,
SmallOptronicMatrix,Small Optronic Matrix,,,,,,,,Малая Оптронная Матрица,,,,,,,,
LargeOptronicBridge,Large Optronic Bridge,,,,,,,,Большой Оптронный Мост,,,,,,,,
LargeOptronicMatrix,Large Optronic Matrix,,,,,,,,Большая Оптронная Матрица,,,,,,,,
SentryGun05RetractV2,Sentry Gun (Retractable),,,,,,,,Охранная турель 2 - Игрок (выдвижная),,,,,,,,
HVtier1,HV (Reforged),,,,,,,,ПС(К1),,,,,,,,
SVtier1,SV (Reforged),,,,,,,,МС(К1),,,,,,,,
CVtier1,CV (Reforged),,,,,,,,БС(К1),,,,,,,,
BAtier1,BA (Reforged),,,,,,,,БА(К1),,,,,,,,
Coolant,Coolant,,,,,,,,Охладитель,,,,,,,,
Chemicals,Chemicals,,,,,,,,Химикаты,,,,,,,,
Filters,Filters,,,,,,,,Фильтры,,,,,,,,
SpareParts,Spare Parts,,,,,,,,Запчасти,,,,,,,,
ScienceEquipment,Scientific Equipment,,,,,,,,Научное Оборудование,,,,,,,,
MutatedSubstance,Mutated Substance,,,,,,,,Мутагены,,,,,,,,
TechnicalArtifact,Technical Artifact,,,,,,,,Техно артефакты,,,,,,,,
GeneratorSVSmall,Generator (Small),,,,,,,,Генератор (малый),,,,,,,,
FuelTankSVSmall,Fuel Tank (Small),,,,,,,,Топливный бак (малый),,,,,,,,
TurretEnemyBallistaCharged,Ballista (Enhanced),,,,,,,,Баллиста (плазменная),,,,,,,,
CoreNPCcpu,NPC Core (CPU),,,,,,,,НИП Ядро (ЦП),,,,,,,,
AlphaVirus,Viral Sample,,,,,,,,Альфа Вирус,,,,,,,,
ToxicLiquid,Hazardous Materials,,,,,,,,Токсичная жидкость,,,,,,,,
Tablet,Tablet,,,,,,,,Таблетка,,,,,,,,
bkiMedicStationHV,Restores Health and heals diseases,,,,,,,,Восстанавливает здоровье и лечит болезни,,,,,,,,
MedicStationMobile,Health Restore,,,,,,,,Восстановление здоровья,,,,,,,,
igmSpacePOIDefenseReinfImminent,Incoming warp signatures detected by long-range scanners!\nEstimated time of arrival: 60 seconds,,,,,,,,"Обнаружен прыжок подкрепления через 60 секунд!
",,,,,,,,
igmSpacePOIDefenseReinfWarpIn,Multiple contacts detected dropping out of warp! Brace for fire!,,,,,,,,Обнаружено подкрепление! Готовьтесь к бою!,,,,,,,,
igmSpacePOIDefenseCored,Distress signal has been silenced. All enemy crafts are retreating.,,,,,,,,"База была разбита, все вражеские части отступают.",,,,,,,,
igmSpacePOIDefenseDefeated,Enemy crafts have been disabled. Long-range scanners indicate that no more ships are approaching.,,,,,,,,Все подкрепления были побеждены.,,,,,,,,
igmSpacePOIDefenseReinfDetected,Sensors detected a distress signal being broadcasted from the station. Reinforcements will arrive in {0:F0} minutes.,,,,,,,,База вызвала помощь. Подкрепление прибудет через {0:F0} минут.,,,,,,,,
bkiWarpDrive,This device is necessary for warp jumps within and between solar systems.,,,,,,,,"Это устройство необходимо для прыжков как внутри, так и между солнечными системами.",,,,,,,,
bkiWarpDriveSV,This device can only be used for warp jumps within solar systems.,,,,,,,,Это устройство может использоваться только для прыжков в солнечных системах.,,,,,,,,
ThrusterSVRoundLargeT2,Large Plasma Thruster (SV),,,,,,,,Двигатель большой (К2),,,,,,,,
ThrusterSVRoundLarge,Large Ion Thruster (SV),,,,,,,,Двигатель большой,,,,,,,,
ThrusterSVRoundNormalT2,Medium Plasma Thruster (SV),,,,,,,,Двигатель средний (К2),,,,,,,,
igmNoTeleportShieldOff,Shields are interfering with the Teleporter's ability to lock onto a target\nDisable shields in order to use the teleporter,,,,,,,,"Отключите щиты, чтобы использовать телепорт!",,,,,,,,
igmNoTeleportAttackTimeout,Radioactive contamination from weapons fire is interfering with the Teleporter's ability to lock onto a target.\nThe teleporter needs {0} seconds to acquire a viable target.,,,,,,,,Мы атакованы! Телепорт невозможен в течение {0} с.,,,,,,,,
igmNoWarpAttackTimeout,Radioactive contamination from weapons fire is interfering with the Warp Drive's ability to lock onto a target.\nThe Warp Drive needs {0} seconds to realign the warp coils.,,,,,,,,Мы атакованы! Прыжок невозможен в течение {0} с.,,,,,,,,
igmRadarScanTimeout,Scanner is recalibrating\nPlease wait...,,,,,,,,Сканер перезаряжается. Ждите.,,,,,,,,
mapUnknownPOI,<Heat Signature>,,,,,,,,<?>,,,,,,,,
mapUnknownResource,<Radar Signature>,,,,,,,,<Ресурсы>,,,,,,,,
bkiDetector,A fixed radar dish inside a protective polymer dome used for scanning for heat signatures and subterranean radar disturbances created by ore deposits.\n[c][00FF00]Primary Scan (LMB):[-][/c] Detects objects at long range for a short duration.\n[c][00FF00]Secondard Scan (RMB):[-][/c] Detects and highlights close-ranged targets for 5 minutes.,,,,,,,,Позволяет сканировать область на наличие структур и ресурсов в радиусе действия устройства.\nРаботает на планетах и в космосе.,,,,,,,,
RadarSuitT1,Detector,,,,,,,,Детектор,,,,,,,,
DetectorCV,Detector (CV),,,,,,,,Детектор,,,,,,,,
igmGeneratorOverload,[c][FFFF00]WARNING!\nGenerator Overload Detected![-][/c]\nGenerator Durability Remaining: {0} %,,,,,,,,Обнаружено повреждение от перегрузки!\nСостояние генератора: {0} %,,,,,,,,
TheLegacy,The Legacy,,,,,,,,Наследие,,,,,,,,
Trader,Trade Federation,,,,,,,,Гильдия Торговцев,,,,,,,,
Zirax,Zirax Empire,,,,,,,,Империя Зиракс,,,,,,,,
Talon,Tal'on,,,,,,,,Талон,,,,,,,,
Polaris,Polaris Megacorp,,,,,,,,Полярис Мегакорп,,,,,,,,
Kriel,Kriel Broodswarm,,,,,,,,Империя Крил,,,,,,,,
UCH,UCH,,,,,,,,UCH,,,,,,,,
TitanOre,Titanium Ore,,,,,,,,Титановая руда,,,,,,,,
TitanRods,Titanium Ingot,,,,,,,,Титановые стержни,,,,,,,,
TitanPlates,Titanium Plates,,,,,,,,Титановые пластины,,,,,,,,
BlastDoorLargeBlocks,Blast Door Blocks,,,,,,,,Блоки бункерных дверей,,,,,,,,
TeleporterBA,Station Teleporter,,,,,,,,Телепортатор,,,,,,,,
TeleporterCV,Mobile Teleporter,,,,,,,,Телепортатор,,,,,,,,
bkiTeleporterCV,"A local teleporter capable of transporting individuals to any registered teleporter pad within the same sector.\n[c][00FFFF]Can only teleport to a discovered structure on the same planet, adjacent moon or in orbit[-][/c]\n[c][FF0000]Shields must be down to teleport out[-][/c]",,,,,,,,"Позволяет телепортироваться в тот же сектор. Не может использоваться, когда судно движется.",,,,,,,,
bkiTeleporterCVT2,An enhanced mobile teleporter capable of reaching any registered teleporter pad in the same star system.\n[c][00FFFF]Can only teleport to a discovered structure within the same Star System[-][/c]\n[c][FF0000]Shields must be down to teleport out[-][/c],,,,,,,,"Улучшенный мобильный телепортатор, способный достичь любого зарегистрированного телепортационного пада в той же звездной системе.\n[c][00FFFF]Можно телепортироваться только к открытой структуре внутри той же Звездной Системы[-][/c]\n[c][FF0000]Щиты должны быть отключены, чтобы телепортироваться наружу[-][/c]",,,,,,,,
bkiTeleporterBA,An interstellar teleporter capable of transporting individuals to any registered teleporter pad on another structure.\n[c][00FFFF]Can only teleport to a discovered structure within range[-][/c]\n[c][FF0000]Shields must be down to teleport out[-][/c],,,,,,,,Позволяет телепортироваться к дальним целям.,,,,,,,,
bkiTeleporterBAT2,An advanced station teleporter capable of reaching further across the gulf of space to any registered teleporter pad on another structure within range.\n[c][00FFFF]Can only teleport to a discovered structure within range[-][/c]\n[c][FF0000]Shields must be down to teleport out\nEnsure that the teleporter you've selected has the necessary range to teleport back or you may be trapped.[-][/c],,,,,,,,"Передовая станционная телепортационная система, способная достичь большего расстояния через космическую пропасть до любого зарегистрированного телепортационного пада на другой структуре в пределах досягаемости.\n[c][00FFFF]Можно телепортироваться только на открытую структуру в пределах досягаемости[-][/c]\n[c][FF0000]Щиты должны быть отключены, чтобы телепортироваться наружу\nУбедитесь, что выбранный вами телепорт имеет необходимый диапазон для обратной телепортации, иначе вы можете оказаться в ловушке.[-][/c]",,,,,,,,
bkiTeleporterBAT3,"A revolutionary breakthrough in quantum teleportation, allowing the user to teleport far further than any other conventional teleporter on the market.\n[c][00FFFF]Can only teleport to a discovered structure within range[-][/c]\n[c][FF0000]Shields must be down to teleport out\nEnsure that the teleporter you've selected has the necessary range to teleport back or you may be trapped.[-][/c]\n[c][F300FF]Quantum Technology[-][/c]",,,,,,,,"Революционный прорыв в квантовой телепортации, позволяющий пользователю телепортироваться на значительно большее расстояние, чем любой другой конвенциональный телепорт на рынке.\n[c][00FFFF]Можно телепортироваться только в обнаруженную структуру в пределах досягаемости[-][/c]\n[c][FF0000]Щиты должны быть опущены для телепортации\nУбедитесь, что выбранный вами телепорт имеет достаточный радиус действия для возвращения обратно, иначе вы можете оказаться в ловушке.[-][/c]\n[c][F300FF]Квантовая Технология[-][/c]",,,,,,,,
bkiCoreNoCPU,An advanced core utilizing quantum technology for increased processing power on larger vessels and structures.\n[c][ffffff]Increases maximum CPU[-][/c],,,,,,,,Модернизация устройства под стандартное ядро. Снимает ограничение на ЦП!,,,,,,,,
CoreNoCPU,[c][F300FF]Quantum Core[-][/c],,,,,,,,Продвинутое Ядро,,,,,,,,
IceBlocks,Ice Chunks,,,,,,,,Ледяные блоки,,,,,,,,
TitanResource,Titanium deposit,,,,,,,,Залежи Титана,,,,,,,,
TurretLegacyDisruptor,[c][F300FF]Legacy Disruptor[-][/c],,,,,,,,Импульсная лазерная турель (К2),,,,,,,,
bkiTurretAlien,High-powered anti-proton beam emitter that disrupts the molecular cohesion of interconnected matter.\nNot allowed in player blueprints!,,,,,,,,"Маленькая, но очень мощная лазерная турель, используемая судами и структурами фракции Наследие.",,,,,,,,
AsteroidTitan,Titanium Meteorite,,,,,,,,Титановый метеорит,,,,,,,,
AsteroidIce,Ice Meteorite,,,,,,,,Ледяной метеорит,,,,,,,,
IceResource,Ice,,,,,,,,Лед,,,,,,,,
SteelPlateArmored,Sathium Plates,,,,,,,,Сатиумные пластины,,,,,,,,
AluminiumOre,Aluminium Ore,,,,,,,,Руда Алюминия,,,,,,,,
AluminiumPowder,Aluminium Powder,,,,,,,,Алюминиевый порошок,,,,,,,,
AluminiumCoil,Aluminium Foil,,,,,,,,Алюминиевая катушка,,,,,,,,
AluminiumResource,Aluminium,,,,,,,,Алюминий,,,,,,,,
mapAluminiumResource,Aluminium,,,,,,,,Алюминий,,,,,,,,
AsteroidAluminium,Aluminium Meteorite,,,,,,,,Алюминиевый метеорит,,,,,,,,
PlatinOre,Platinum Ore,,,,,,,,Руда Платины,,,,,,,,
PlatinBar,Platinum Ingot,,,,,,,,Слиток Платины,,,,,,,,
PlatinOunce,Platinum Plate,,,,,,,,Брусок Платины,,,,,,,,
PlatinResource,Platinum,,,,,,,,Платина,,,,,,,,
mapPlatinResource,Platinum,,,,,,,,Платина,,,,,,,,
AsteroidPlatin,Platinum Meteorite,,,,,,,,Платиновый метеорит,,,,,,,,
stiAmmoContainerFull,Ammo containers are full!\nUnable to store any additional ammunition!,,,,,,,,Контейнеры с патронами заполнены. Не все было куплено!,,,,,,,,
stiWarpContainerFull,Pentaxid Tank is full!\nUnable to purchase any additional pentaxid!,,,,,,,,Бак варп привода заполнен. Не все было куплено!,,,,,,,,
GeneralPurposeConsole,Small Console,,,,,,,,Малая Консоль,,,,,,,,
bkiGeneralPurposeConsole,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,,,,,,,,Может быть настроено с диалогами NPC: доступный блок при включенном режиме бога невидимый (установите gm iv в консоли) и добавить идентификатор имени диалога из файла конфигурации диалогов,,,,,,,,
ConsoleTrading,Large Console,,,,,,,,Большая Консоль,,,,,,,,
bkiConsoleTrading,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,,,,,,,,Может быть настроено с диалогами NPC: доступный блок при включенном режиме бога невидимый (установите gm iv в консоли) и добавить идентификатор имени диалога из файла конфигурации диалогов,,,,,,,,
TurretZiraxMSLaser,Imperial Laser Turret,,,,,,,,Импульсная лазерная турель (Зиракс),,,,,,,,
bkiTurretZiraxMSLaser,Variant used by the Zirax Empire on their Capital Vessels,,,,,,,,"Вариант, использованный Империей Зиракс на своих БС",,,,,,,,
TurretZiraxMSPlasma,Imperial Plasma Turret,,,,,,,,Плазменная турель (Зиракс),,,,,,,,
bkiTurretZiraxMSPlasma,Variant used by the Zirax Empire on their Capital Vessels,,,,,,,,"Вариант, использованный Империей Зиракс на своих БС",,,,,,,,
TurretZiraxMSRocket,Imperial Missile Turret,,,,,,,,Ракетная турель (Зиракс),,,,,,,,
bkiTurretZiraxMSRocket,Variant used by the Zirax Empire on their Capital Vessels,,,,,,,,"Вариант, использованный Империей Зиракс на своих БС",,,,,,,,
